"","8_0149.leaf","8_0157.leaf","8_0158.leaf","8_0160.leaf","8_0162.leaf","8_0167.leaf","8_0171.leaf","8_0174.leaf","8_0302.leaf","8_0307.leaf","8_0318.leaf","8_0326.leaf","8_0327.leaf","8_0328.leaf","8_0330.leaf","8_0580.leaf","8_0589.leaf","8_0593.leaf","8_0606.leaf","8_0608.leaf","8_0609.leaf","8_0612.leaf","8_0617.leaf","8_0773.leaf","8_0775.leaf","8_0776.leaf","8_0790.leaf","8_0803.leaf","8_1012.leaf","8_1013.leaf","8_1023.leaf","8_1032.leaf","8_1043.leaf","8_1047.leaf","8_1048.leaf","8_1361.leaf","8_1370.leaf","8_1377.leaf","8_1378.leaf","8_1382.leaf","8_1384.leaf","8_1388.leaf","8_1389.leaf","9_0155.leaf","9_0159.leaf","9_0161.leaf","9_0169.leaf","9_0171.leaf","9_0179.leaf","9_0191.leaf","9_0290.leaf","9_0292.leaf","9_0298.leaf","9_0302.leaf","9_0305.leaf","9_0330.leaf","9_0334.leaf","9_0580.leaf","9_0583.leaf","9_0588.leaf","9_0589.leaf","9_0590.leaf","9_0599.leaf","9_0769.leaf","9_0775.leaf","9_0776.leaf","9_0781.leaf","9_0789.leaf","9_0799.leaf","9_0802.leaf","9_0804.leaf","9_1014.leaf","9_1027.leaf","9_1041.leaf","9_1043.leaf","9_1046.leaf","9_1047.leaf","9_1354.leaf","9_1355.leaf","9_1356.leaf","9_1358.leaf","9_1364.leaf","9_1370.leaf","9_1382.leaf","JAM_3C.leaf","JAM_E1.leaf","JAM_E3.leaf","JAM_E4.leaf","8_0149.root","8_0157.root","8_0158.root","8_0160.root","8_0162.root","8_0167.root","8_0171.root","8_0174.root","8_0302.root","8_0307.root","8_0318.root","8_0326.root","8_0327.root","8_0328.root","8_0330.root","8_0580.root","8_0589.root","8_0593.root","8_0606.root","8_0608.root","8_0609.root","8_0612.root","8_0617.root","8_0773.root","8_0775.root","8_0776.root","8_0790.root","8_0803.root","8_1012.root","8_1013.root","8_1023.root","8_1032.root","8_1043.root","8_1047.root","8_1048.root","8_1361.root","8_1370.root","8_1377.root","8_1378.root","8_1382.root","8_1384.root","8_1388.root","8_1389.root","9_0155.root","9_0159.root","9_0161.root","9_0169.root","9_0171.root","9_0179.root","9_0191.root","9_0290.root","9_0292.root","9_0298.root","9_0302.root","9_0305.root","9_0330.root","9_0334.root","9_0580.root","9_0583.root","9_0588.root","9_0589.root","9_0590.root","9_0599.root","9_0769.root","9_0775.root","9_0776.root","9_0781.root","9_0789.root","9_0799.root","9_0802.root","9_0804.root","9_1014.root","9_1027.root","9_1041.root","9_1043.root","9_1046.root","9_1047.root","9_1354.root","9_1355.root","9_1356.root","9_1358.root","9_1364.root","9_1370.root","9_1382.root","JAM_3C.root","JAM_E1.root","JAM_E3.root","JAM_E4.root"
"OTU_149",2,404,5,5,0,3,127,0,0,0,146,2,6,0,52,0,2,11,0,0,3,24,1,213,3,1,12,11,0,9,3,0,0,0,0,0,0,50,0,3,0,13,5,0,0,0,18,19,586,0,0,17,0,182,0,1,11,2,0,0,18,0,659,0,0,0,2,0,0,20,0,6,0,0,6,1,1,2,2,733,10,3,30,744,0,0,1,368,1,3,0,4,12,0,469,6,5,17,0,14,51,0,225,0,12,0,0,4,347,459,0,5,17,7,0,0,0,457,1,0,0,42,860,76,0,30,0,0,11,1294,1,0,1240,1553,14,59,153,0,0,386,1,4,835,17,3,21,0,0,0,0,4,0,235,14,1,0,1,0,3,0,77,0,0,0,7,0,0,1,0,0,0,0,0,3,7,0
"OTU_150",0,0,0,0,0,0,0,0,0,0,0,6157,0,0,0,2,4,17,0,2,49,0,0,0,0,10,0,1,0,82,6,13,0,861,0,0,172,278,0,0,0,551,17,21,0,2966,0,14,0,2,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,2,0,0,31,0,0,0,0,11,38,0,3,0,4,41,0,0,0,1,0,0,193,0,1,0,0,0,2233,0,1329,0,0,0,1,0,0,0,10,0,0,0,0,5,1,0,0,8,0,0,0,98,0,0,0,0,0,86,0,0,0,0,0,0,0,0,3,0,106,0,0,0,0,127,0,0,4,0,1,7,0,0,0,0,0,736,0,5,0,0,0,1,0,0,0,0,731,113,0
"OTU_151",0,277,0,0,0,0,15,0,1,0,12,0,149,1,18,0,6,33,0,0,132,4,0,68,0,0,144,0,0,10,0,0,0,0,0,0,0,3,0,13,0,8,0,0,0,0,0,16,5,0,0,112,0,32,0,0,1,9,0,0,31,0,6,5,0,0,1,0,0,51,0,10,0,0,30,0,0,430,2,55,2,23,18,39,0,0,0,10,0,37,0,0,5,0,8,0,24,44,0,7,14,0,5,0,65,0,0,0,63,37,0,125,46,146,0,0,0,331,0,0,0,3,33,23,18,43,0,0,84,3,1,0,134,3,4,29,22,0,0,41,0,0,334,1,5,8,1,0,0,0,161,0,22,1,48,1,0,0,0,0,0,0,0,0,75,0,0,0,1,1,0,0,0,14,17,0
"OTU_152",1,2,51,3,73,0,1,244,183,1,7,5237,88,1,9,35,8,555,89,44,1090,66,13,32,0,43,38,34,0,10,3,0,158,2491,7,27,1523,16,33,49,10,10,73,3413,442,217,0,18,6,10708,18,29,1,1,8,8,5,42,2,0,107,4,3,0,12,9,0,0,19,713,3,8,30,1,1,8,10,98,926,7,3,134,6,11,7,0,26,30,38,14,0,148,115,62,51,1,635,223,4,116,7,1966,6,0,32,9197,13,13,0,0,21,39,100,200,318,81,51,0,13,7,23,33,3,13,26,362,0,10,18,21,190,0,1,0,81,5,29,1,38,3,38,3664,30,46,352,62,5,41,0,158,182,44,6,0,266,1467,444,0,64,107,15,0,844,3,28,0,87,4455,767,22,120,94,54,148,66,4
"OTU_153",6,7,16,121,0,7,1,0,1,9,2,25,5,16,17,38,17,3,0,0,3,24,19,0,14,0,3,81,13,30,26,0,2,31,36,0,0,4,0,8,0,9,10,8,0,10,143,9,1,0,0,7,12,6,0,4,297,89,45,2,8,0,0,50,0,26,0,0,0,64,5,11,0,756,205,0,18,3,3,3,14,13,17,7,0,22,4,1,0,66,11,27,9,0,2,11,48,3,11,6,1,0,2,0,11,35,7,136,1,2,0,13,31,23,0,7,0,9,1,2,7,4,1,9,11,17,7,8,7,5,151,24,15,0,5,8,1,0,1,1,12,13,0,9,122,4,3952,3,0,0,24,1,8,301,16,44,16,0,49,0,22,0,0,0,8,28,0,5,17,0,0,1,0,14,45,5
"OTU_154",3,10,263,510,0,82,57,1,9,7,24,196,10,214,0,49,62,28,4,80,51,33,113,3,74,28,23,37,5,73,219,156,10,1964,142,4,58,116,1,69,0,48,9,385,1,1966,1153,48,0,3,0,54,58,150,9,2,513,32,63,0,50,22,1,35,1,21,2,2,1,63,13,32,0,286,52,5,726,9,96,0,180,17,37,2,3,58,113,32,1,53,47,301,93,0,22,38,118,59,0,27,9,2,33,7,34,606,100,1814,29,1,0,106,102,21,1,180,13,1,36,1,65,66,4,2,10,71,49,6,13,14,62,151,9,3,207,31,7,0,17,30,3,1,6,93,62,36,118,0,5,3,24,9,34,847,16,106,356,4,1629,17,35,2,61,1,160,51,2,22,29,7,66,4,1,28,77,1
"OTU_156",0,36,11,34,3,4,2,0,4,29,1,1,2,30,4,588,7,1,6,44,1,2,14,2,42,2,0,2,5,2,9,26,0,94,16,6,6,0,6,0,10,1,4,4,8,8,3,2,2,6,2,4,3,0,1,3,13,4,569,1,3,29,4,7,0,55,3,16,4,4,0,8,2,50,103,5,0,1,1,12,5,3,4,11,2,21,13,1,1,4,4,12,4,10,0,34,3,10,38,2,10,1,0,20,7,0,4,22,0,0,17,13,1,1,9,12,20,91,19,5,1,4,0,1,0,4,11,1,2,0,2,26,2,0,56,0,62,6,10,25,25,13,3,0,0,4,2,12,1,3,11,8,46,0,4,0,6,0,15,21,2,2,16,1,0,40,2,0,6,50,7,1,1,4,3,2
"OTU_157",17,15,0,24,0,0,48,0,2,6,11,1,44,3,35,0,780,316,0,0,31,138,0,4,2,11,54,1,0,324,10,21,0,19,3,0,37,44,0,248,0,142,161,1,0,13,59,225,8,5,0,55,1,2,0,0,8,622,0,0,59,0,9,0,1,0,0,0,1,155,0,158,0,6,0,3,15,50,159,53,4,253,17,6,1,0,0,126,3,526,3,5,239,0,60,0,153,34,0,410,12,0,42,2,44,7,0,4,55,12,0,330,107,122,2,2,0,10,0,0,0,506,35,25,571,175,4,0,33,15,7,0,16,22,186,46,22,0,0,61,1,2,5,260,291,510,27,0,0,15,325,0,22,66,315,113,1,0,7,0,13,0,0,1,50,8,1,19,0,0,0,0,0,44,199,0
"OTU_158",565,80,1,0,31,4,119,1,10,1,266,1,1512,0,146,16,708,398,1,0,792,46,1,201,6,21,2649,527,0,246,1,8,0,2,1,0,6,110,2,57,3,11,28,0,3,0,0,198,71,0,2,2889,4,21,1,0,0,186,3,0,665,0,40,8,1,1,1,0,3,428,0,223,1,0,68,0,1,267,108,146,0,197,249,83,0,0,5,250,3,261,0,6,211,1,138,1,39,236,0,175,238,0,13,0,2861,9,0,0,110,31,0,433,2174,485,1,0,0,78,4,0,0,73,64,152,527,446,0,1758,3132,203,1592,0,96,173,272,145,228,0,2,62,0,0,78,170,215,671,20,2,1,18,317,2,65,0,315,5,0,0,0,0,146,0,4,0,1759,14,0,3,14,0,0,2,0,1403,451,0
"OTU_160",53,489,0,0,0,0,24,0,0,0,57,0,4,0,673,0,571,324,1,0,15,1,6,328,0,0,19,7,0,57,0,0,1,0,0,0,0,29,0,15,0,1,118,0,0,2,1,370,168,0,0,2,0,79,0,0,1,2042,0,0,25,0,535,0,0,0,0,0,0,95,0,57,0,0,30,0,0,124,45,1638,0,91,3,491,0,0,1,48,0,1768,0,0,295,0,117,0,0,6,0,296,103,0,13,0,51,1,2,0,433,152,0,193,7,66,2,3,3,594,0,0,0,3,1150,264,143,61,0,0,68,86,89,0,1004,117,332,83,203,0,0,462,0,0,1496,3,0,15,31,0,0,0,117,0,45,0,380,0,0,0,1,0,1,0,0,0,8,0,1,0,0,0,1,0,0,33,50,0
"OTU_161",0,3,13,69,212,0,162,321,470,0,22,54,1,110,21,8,7,10,1065,14,12,5,22,27,17,277,12,400,12,9,15,9,5,151,37,127,1100,51,375,13,118,3,3,64,861,165,0,6,15,356,1155,15,8,716,374,217,80,7,9,0,12,0,4,9,335,4,91,15,474,24,2,10,383,106,11,103,49,6,60,75,42,6,6,35,4,3,178,15,197,7,11,104,94,404,33,12,12,10,104,1,9,269,17,4,6,100,35,35,9,8,8,7,52,5,739,23,64,6,389,374,91,6,2,116,9,23,4,1,6,139,117,28,19,16,83,12,23,146,424,26,151,99,10,14,0,43,39,550,1,208,22,358,23,6,2,3,25,0,66,1,54,183,11,250,29,15,80,112,2,327,17,288,1,7,14,33
"OTU_164",65,265,0,0,1,0,122,1,0,0,142,1,577,0,113,10,13,65,0,0,1757,63,0,177,0,1,234,63,0,16,0,0,0,2,0,0,0,317,0,15,0,49,64,0,0,0,37,22,45,0,0,849,0,25,0,0,0,56,0,0,692,0,83,3,0,0,0,6,0,757,0,24,0,0,148,0,1,1508,11,265,0,34,176,109,0,0,0,578,0,221,0,0,23,0,121,0,148,622,0,52,386,0,38,3,390,2,0,1,420,104,0,105,90,1359,0,0,0,775,2,0,0,395,432,41,98,225,0,37,746,38,53,0,143,99,15,299,250,0,0,1079,0,0,180,560,371,978,7,0,0,0,110,1,101,13,98,24,0,2,1,0,44,0,0,0,208,0,0,0,0,0,0,0,0,326,21,0
"OTU_165",78,4,0,5,0,0,248,6,8,8,14,4,9,4,21,7,504,16,88,0,10,0,0,46,0,30,3,768,37,138,5,3,1,1,18,0,23,1,1,36,0,0,1,3,22,15,0,38,31,2,90,5,113,53,15,3,10,2,2,0,0,0,13,4,4,4,2,0,4,2,1,67,16,38,3,3,0,7,130,38,16,17,0,41,0,0,44,12,28,41,0,0,32,65,22,0,0,3,13,3,10,9,14,0,65,4,3,4,10,5,0,76,7,34,10,0,0,14,78,101,83,12,18,43,12,5,1,156,12,12,12,41,6,33,26,3,31,28,140,23,0,3,17,10,0,66,1,40,0,17,46,28,10,6,20,0,51,0,2,0,206,3,0,0,21,13,0,1,40,5,12,38,0,1,39,0
"OTU_166",0,17,0,3,0,4,24,0,0,0,103,0,715,0,18,0,27,58,0,0,334,13,0,43,7,1,977,0,0,22,0,0,0,0,0,0,0,35,0,4,0,10,0,1,0,0,0,102,7,5,1,228,0,16,0,0,0,43,0,0,108,0,16,0,0,0,0,0,0,136,0,229,0,6,317,0,0,47,4,13,1,201,123,34,0,5,1,68,0,898,4,3,40,0,326,0,62,271,0,39,67,0,34,0,177,0,3,0,86,18,0,215,981,490,0,0,0,61,1,0,0,49,41,33,299,580,0,0,464,36,0,0,22,26,29,65,95,1,0,91,1,0,62,4,50,86,1,0,0,0,203,0,97,0,108,16,0,0,1,0,0,0,4,1,331,3,0,0,0,0,0,0,0,302,102,0
"OTU_171",11,22,0,0,0,0,22,0,3,1,29,0,10,1,39,3,9,29,1,0,1,6,0,180,1,0,5,8,2,20,0,1,0,0,5,0,11,11,0,13,0,7,13,10,0,2,1,58,59,0,0,1,0,38,1,2,0,23,1,0,3,0,55,3,0,0,2,7,0,9,0,27,0,2,54,8,0,3,10,62,3,28,24,167,0,0,3,160,3,5,3,0,10,0,84,0,0,2,0,19,27,2,36,0,44,8,0,2,22,35,0,16,4,18,0,3,0,33,3,0,0,3,32,100,24,10,4,9,2,95,50,2,99,101,27,4,44,0,0,25,0,0,107,20,0,45,0,3,0,4,15,0,10,0,11,0,0,0,8,0,14,1,2,0,3,7,0,13,0,0,0,0,0,3,22,0
"OTU_173",0,0,0,0,0,0,0,0,2,6,3,2,0,0,0,0,1,0,35,0,0,0,0,1,0,10,1,28,3,0,0,3,0,0,0,1,18,0,1,3,4,0,0,3,6,10,0,3,0,0,11,4,0,23,26,1,0,0,0,0,0,0,0,7,5,0,1,3,0,1,0,8,4,25,1,0,0,0,0,0,7,2,0,0,0,0,8,1,3,0,0,0,2,3,1,0,0,0,0,0,0,7,0,0,0,12,2,5,0,0,12,0,0,2,2,1,0,0,13,5,1,0,0,2,1,1,0,1,1,0,3,2,0,0,4,0,0,107,8,0,0,0,0,2,0,3,0,8,0,3,2,0,1,1,0,0,0,0,2,0,0,13,86,2,1,0,0,1,5,0,119,3,0,0,0,2
"OTU_175",305,413,7,19,1,3,197,1,6,1,443,3,79,14,524,20,194,198,0,4,215,211,3,670,14,3,106,79,4,205,48,5,1,4,10,1,38,124,3,63,4,130,342,4,2,7,477,223,232,2,2,145,5,187,3,0,8,422,9,0,81,3,266,4,8,26,0,0,1,211,0,213,3,7,50,15,5,90,48,482,4,199,297,355,0,0,0,343,1,362,11,23,159,1,362,7,266,126,0,123,356,5,161,0,50,29,10,4,288,308,4,308,294,158,0,5,0,345,2,1,1,241,271,421,298,313,7,123,147,517,369,0,544,290,133,286,312,0,4,560,12,6,451,250,280,358,25,4,0,1,271,1,283,215,60,99,1,1,13,9,41,0,1,3,96,7,4,8,0,0,6,1,0,77,211,3
"OTU_176",667,596,0,0,0,0,52,0,0,0,161,0,199,0,133,0,59,742,0,0,177,12,0,393,2,0,66,10,0,195,0,0,0,0,1,0,1,757,0,20,0,3,184,0,0,0,1,222,50,0,0,287,0,63,0,0,0,605,0,0,244,0,160,0,1,0,1,0,1,399,0,131,0,1,13,1,0,235,200,237,0,652,20,140,1,2,1,825,0,522,0,0,171,0,225,0,78,79,0,176,333,0,12,0,146,0,0,0,160,85,0,525,90,197,0,0,3,479,4,0,0,449,412,246,880,553,0,49,553,130,71,0,118,117,268,98,246,0,0,750,5,0,356,752,18,1110,0,0,0,0,1315,0,77,0,381,0,0,0,0,0,76,0,0,0,114,0,0,0,0,0,1,1,0,49,234,1
"OTU_178",0,97,0,0,0,0,71,0,9,0,38,0,364,0,149,0,1,2,0,3,69,43,0,113,0,20,58,1,0,17,4,0,0,1,0,0,1,43,0,1,1,40,135,1,0,0,71,1,171,4,0,137,5,19,0,0,2,10,0,0,32,0,106,0,0,1,1,0,0,74,0,20,0,1,55,3,3,65,4,418,0,6,117,141,0,0,0,10,0,12,0,3,8,0,209,0,69,169,3,12,176,0,96,0,44,3,1,0,238,77,0,15,615,46,5,0,0,107,1,0,0,25,113,113,6,769,0,0,161,218,0,0,170,221,8,65,196,0,1,243,0,0,130,12,77,41,0,0,0,2,7,3,95,34,10,13,0,0,2,0,5,1,0,0,187,0,0,5,0,0,0,0,0,35,10,0
"OTU_180",25,19,1,7,0,0,78,0,2,4,162,2,611,3,31,0,7,30,1,0,950,222,0,50,6,11,816,60,0,149,6,0,0,9,8,1,6,51,2,26,1,98,17,4,3,1,5,58,15,3,0,924,3,27,0,0,10,126,0,0,512,0,15,6,0,0,0,0,0,173,0,76,1,0,107,0,4,112,98,20,4,47,226,42,0,0,1,70,1,220,0,0,130,0,181,0,297,624,1,47,58,1,74,0,302,8,0,4,148,22,0,126,517,253,2,0,0,18,0,0,0,38,57,33,66,988,0,14,881,64,21,0,28,35,58,118,189,0,0,237,0,8,54,32,962,38,1,0,2,29,146,0,136,3,41,214,1,0,1,0,54,0,0,0,1400,0,0,5,4,0,0,1,0,531,38,3
"OTU_181",11,157,87,200,3,29,145,33,102,8,217,154,24,34,341,93,191,42,39,50,28,364,154,175,61,57,20,13,3,112,189,145,0,790,104,92,837,219,9,195,1,265,191,488,34,891,1522,83,116,28,3,37,18,147,2,10,202,75,20,0,33,8,80,18,18,33,17,0,47,75,3,79,12,178,40,104,2610,41,136,200,51,31,508,235,0,14,52,148,38,85,17,313,134,13,297,50,374,21,9,50,198,21,275,0,52,991,22,1016,155,181,13,91,111,51,33,173,8,119,21,4,54,186,61,377,36,62,46,7,31,542,143,74,286,353,65,159,179,0,24,430,25,26,284,224,295,297,74,2,1,115,64,12,212,709,20,276,118,2,745,15,20,2,40,1,56,65,18,215,3,1,14,6,1,17,128,5
"OTU_182",0,1,0,0,0,2,8,2,0,0,14,0,4,0,122,9,1011,1,51,0,0,2,0,62,0,1,0,0,0,30,0,0,0,0,0,0,0,0,5,19,0,0,1,2,1,1,0,274,164,0,52,3,0,1,49,1,0,0,0,0,0,0,16,0,0,0,0,0,0,31,0,168,0,11,2,0,0,46,20,25,3,20,0,112,0,0,0,0,0,0,0,0,102,6,0,12,0,0,5,0,36,0,14,0,373,0,0,0,0,23,0,18,0,8,0,0,2,3,71,0,0,0,1,124,0,1,0,0,10,42,0,0,14,178,1,0,13,14,0,21,0,4,93,2,0,3,0,0,0,0,14,0,4,0,2,2,0,0,0,0,0,0,0,0,60,0,0,3,0,0,0,0,0,0,3,1
"OTU_183",0,0,1,0,2,0,1,5,52,5,0,0,0,17,0,4,0,0,57,3,0,0,9,0,0,74,0,9,1,0,0,0,0,1,5,3,5,1,20,0,922,0,0,7,13,15,0,0,0,0,47,1,212,26,75,114,9,0,0,0,0,0,0,14,30,0,3,4,9,0,0,2,12,45,0,10,10,0,0,0,14,0,0,0,0,0,308,0,4,0,5,0,3,12,4,11,0,0,11,0,0,44,0,0,0,1,0,11,1,0,0,1,0,0,20,0,0,3,18,6,6,0,0,0,0,0,60,0,0,2,1,9,0,0,7,0,0,603,55,2,17,7,0,0,0,0,2,18,0,3,6,6,1,0,0,0,0,0,12,0,2,21,48,195,2,0,1,4,2,28,14,59,2,0,0,27
"OTU_184",286,132,0,0,0,0,32,0,1,0,22,0,31,0,58,0,200,282,0,0,353,42,0,210,0,0,72,25,1,168,1,0,0,1,0,0,0,62,0,78,0,26,75,0,0,0,4,180,65,0,0,264,0,9,0,0,0,533,1,0,166,0,35,0,0,0,0,0,1,188,0,114,2,0,22,0,0,170,64,530,0,164,111,28,0,0,0,288,0,435,0,0,157,0,13,1,130,32,0,113,21,0,10,0,76,0,0,2,20,37,3,346,132,335,0,0,0,157,0,0,0,112,27,60,394,687,0,42,118,55,181,0,51,64,291,69,36,0,0,108,0,0,123,206,109,388,11,0,0,0,396,1,8,4,122,106,0,0,0,0,42,0,0,0,280,0,0,1,0,1,0,0,0,196,402,0
"OTU_185",55,30,0,0,0,0,7,0,0,0,13,1,98,0,44,0,1047,801,0,0,155,2,0,125,0,1,235,31,0,630,0,1,0,0,1,0,2,8,0,138,0,18,49,0,0,0,1,641,19,0,0,180,0,5,0,0,0,767,0,0,417,0,24,0,0,0,0,1,1,217,0,361,0,0,83,1,2,44,300,37,0,357,40,21,0,0,0,61,0,1168,0,0,422,0,9,0,1,70,0,574,11,0,7,0,85,3,0,0,8,9,0,689,979,115,2,0,0,28,0,0,0,19,8,30,767,581,0,46,150,30,335,0,14,19,840,7,26,1,0,13,0,0,59,46,1,481,16,0,1,0,841,0,7,0,391,0,0,0,0,0,10,0,0,0,248,0,0,0,5,0,0,0,0,313,787,0
"OTU_186",173,382,0,3,0,0,59,0,2,0,132,0,111,2,254,5,310,383,0,0,425,64,0,1629,3,3,172,158,0,247,12,0,0,0,1,0,2,186,0,100,0,116,167,0,1,1,75,289,111,0,0,297,0,73,0,0,0,596,0,0,465,0,196,0,0,0,1,0,0,334,0,264,0,2,20,5,0,62,209,443,0,292,159,193,0,0,0,268,0,688,0,0,231,0,115,0,213,142,4,359,185,0,67,0,82,2,0,0,230,159,2,635,740,210,1,2,0,374,0,0,0,354,395,312,465,704,2,290,219,297,325,0,417,322,448,146,246,0,0,323,0,0,753,485,602,912,12,0,0,3,494,0,110,41,181,126,0,0,4,0,147,0,0,0,439,0,1,6,0,0,0,2,0,211,766,0
"OTU_187",0,66,0,0,0,1,77,0,0,0,13,0,0,0,66,1,0,0,0,0,0,65,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,53,188,1,0,0,55,0,56,0,0,0,0,29,0,0,0,1,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,54,57,0,0,0,0,0,0,0,2,0,0,61,0,208,0,0,1,31,0,20,0,0,1,0,4,49,62,0,0,0,0,0,0,0,105,0,0,0,111,122,30,0,0,0,1,0,15,0,0,38,198,0,142,17,0,1,171,0,0,52,1,279,11,0,0,0,0,0,1,128,43,0,101,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"OTU_188",31,421,3,24,0,0,93,0,4,0,72,1,37,11,169,0,68,107,2,0,26,61,7,130,2,5,69,15,0,94,22,4,0,12,4,0,8,21,0,66,0,40,192,3,0,18,138,57,106,0,3,102,7,46,0,1,70,248,4,0,49,0,61,2,0,0,0,0,0,191,0,73,0,14,0,0,85,52,87,177,9,104,284,133,0,2,5,35,0,119,5,21,85,2,153,0,180,38,1,72,89,1,73,0,75,48,7,10,124,151,4,118,80,92,0,5,0,270,0,0,1,64,133,180,154,108,2,1,55,161,14,1,210,137,112,119,108,0,2,79,1,3,133,45,85,33,36,0,0,4,121,0,50,117,44,114,4,0,33,0,19,0,2,0,117,0,0,6,3,3,0,3,0,79,112,0
"OTU_189",108,46,0,11,19,1,81,80,81,13,163,6,43,60,173,4,171,213,126,1,83,11,0,120,4,110,98,57,21,251,3,12,2,1,8,53,224,16,11,162,3,7,22,14,76,21,1,315,56,58,29,190,13,273,24,19,11,354,22,0,61,12,43,7,25,0,20,1,38,98,0,330,114,74,70,14,11,17,129,75,51,102,28,165,2,6,31,21,54,272,3,18,187,36,137,11,6,32,9,122,81,38,77,1,49,23,14,3,59,62,31,168,275,54,61,7,33,68,18,34,6,4,63,348,246,117,5,44,51,364,217,22,119,86,295,29,118,37,42,81,18,7,80,28,28,92,49,34,0,96,270,19,119,1,88,4,6,0,23,7,30,8,2,4,147,8,2,113,50,29,0,35,1,127,348,28
"OTU_191",0,9,0,0,0,0,24,0,0,4,52,0,1366,1,0,0,2,15,0,0,419,92,0,1,0,0,545,1,0,14,2,0,0,1,0,0,0,4,1,11,0,153,0,0,1,0,21,4,0,0,0,403,0,3,0,2,0,6,0,0,312,0,2,7,1,9,0,0,0,166,0,2,0,19,125,0,2,159,5,4,0,47,323,7,0,0,0,5,0,8,1,0,24,0,267,0,157,234,0,13,77,0,89,0,222,1,2,0,97,12,0,129,379,410,0,0,0,12,0,0,0,0,139,16,14,725,0,0,653,0,0,0,26,0,11,274,139,0,0,222,0,0,8,0,288,2,0,0,0,0,92,0,125,16,22,66,0,0,0,0,0,0,0,0,681,0,0,0,0,0,2,0,0,201,11,0
"OTU_192",1,3,2,1,0,0,1,0,0,0,2,1,2,0,0,0,6,10,0,3,1,1886,8,0,3,0,4,0,2,78,50,9,0,35,0,0,0,59,3,16,0,1726,16,4,1,4,361,0,2,0,0,2,1,0,0,0,0,3,0,0,3,0,5,0,0,11,0,2,0,5,0,2,0,0,13,0,10,1,13,6,0,3,171,5,0,0,0,5,0,5,0,1,7,1,4,0,2647,2,0,4,2,1,2,0,0,8,1,12,0,17,0,56,14,0,0,0,4,0,0,0,0,253,0,2,2,35,0,0,8,2,5,0,30,15,9,2,2,0,2,2,0,0,10,51,1027,22,0,1,0,0,6,0,0,312,8,888,0,0,32,0,7,0,0,0,2,0,0,1,3,0,0,0,0,1,10,0
"OTU_193",5,0,17,850,7,0,5,132,56,23,1,140,16,257,7,67,52,24,4,11,25,9,13,12,105,390,87,248,8,30,11,16,15,103,98,133,421,105,0,26,14,12,4,1604,40,1209,8,70,0,13,560,73,75,120,1,15,1015,33,58,0,125,9,2,35,30,7,2,2,36,62,27,17,33,197,37,63,77,10,343,2,318,37,24,4,6,36,206,85,319,79,88,280,148,6,0,33,64,68,0,44,0,54,0,0,49,547,141,33,2,1,0,82,221,37,36,115,0,1,0,29,5,32,0,21,4,228,215,31,25,29,374,367,2,3,444,0,3,0,28,0,7,25,3,131,2,154,224,1,4,668,22,0,1,17,7,30,10,10,258,0,35,0,2,0,242,77,4,172,67,0,14,5,2,148,111,1
"OTU_194",25,3,91,268,49,6,0,109,11,249,3,47,5,74,0,47,5,1,59,13,5,2,50,0,34,7,0,45,46,2,8,14,0,6,44,18,83,4,36,1,83,1,1,31,30,3,0,0,1,30,37,1,12,2,60,34,61,2,29,6,1,2,0,178,34,8,49,197,15,2,13,5,57,540,39,34,45,0,1,2,35,3,4,5,0,131,49,1,5,9,19,249,0,52,1,12,1,2,97,6,0,8,0,82,7,23,52,177,1,1,18,1,1,0,26,322,128,1,161,67,2,1,0,1,1,2,34,26,4,2,31,40,2,3,0,3,5,71,30,0,91,65,0,3,2,0,32,56,1,12,1,74,2,0,2,0,20,7,160,1,28,44,16,35,2,36,13,8,4,108,11,25,1,3,2,50
"OTU_195",2,29,4,5,2,0,8,55,238,2,28,8,70,26,75,29,9,7,52,0,11,2,4,67,14,57,13,8,0,2,8,4,2,5,10,349,1013,5,38,7,6,5,284,5,81,4,202,7,77,112,21,104,14,16,77,18,5,21,18,1,123,0,100,4,42,0,6,0,315,81,1,4,91,61,28,68,0,2,3,32,133,4,1,117,0,6,9,0,8,24,8,74,5,84,229,11,0,168,121,1,39,47,12,0,7,18,28,7,53,86,0,3,50,23,156,23,108,13,42,6,7,0,50,25,8,7,6,0,7,110,6,6,138,229,5,98,33,21,23,59,4,66,103,3,3,5,40,12,0,44,7,5,93,3,5,0,0,1,61,0,7,1,7,3,11,0,5,32,2,7,0,7,1,8,6,13
